,,,,,2022 ESPN Fantasy Football Draft Kit,,,,,,,,,,
,,,,,,,PPR Top 300 Cheat Sheet,,,,,,,,
,RANKINGS 1-80,,,,RANKINGS 81-160,,,,RANKINGS 161-240,,,,RANKINGS 241-300,,
37. (WR19),"Brandin Cooks, HOU",$22,6,117. (WR54),"Jahan Dotson, WAS",$2,14,197. (RB58),"Sony Michel, MIA",$0,11,277. (RB84),"Giovani Bernard, TB",$0,11
38. (TE3),"Kyle Pitts, ATL",$21,14,118. (RB40),"Michael Carter, NYJ",$2,10,198. (RB59),"Darrel Williams, ARI",$0,13,278. (RB85),"Dwayne Washington, NO",$0,14
39. (RB17),"David Montgomery, CHI",$21,14,119. (RB41),"Melvin Gordon III, DEN",$2,9,199. (RB60),"Isaiah Spiller, LAC",$0,8,279. (RB86),"Rico Dowdle, DAL",$0,9
40. (RB18),"Breece Hall, NYJ",$20,10,120. (RB42),"Nyheim Hines, IND",$2,14,200. (RB61),"Zamir White, LV",$0,6,280. (RB87),"Benny Snell Jr., PIT",$0,9
41. (RB19),"J.K. Dobbins, BAL",$19,10,121. (RB43),"Brian Robinson Jr., WAS",$1,14,201. (RB62),"Mark Ingram II, NO",$0,14,281. (RB88),"Snoop Conner, JAC",$0,11
42. (RB20),"Ezekiel Elliott, DAL",$19,9,122. (QB14),"Derek Carr, LV",$1,6,202. (RB63),"D'Onta Foreman, CAR",$0,13,282. (RB89),"Kene Nwangwu, MIN",$0,7
43. (QB1),"Josh Allen, BUF",$18,7,123. (QB15),"Kirk Cousins, MIN",$1,7,203. (WR75),"Isaiah McKenzie, BUF",$0,7,283. (RB90),"Larry Rountree III, LAC",$0,8
44. (WR20),"Marquise Brown, ARI",$17,13,124. (TE12),"Hunter Henry, NE",$1,10,204. (WR76),"Cedrick Wilson, MIA",$0,11,284. (WR102),"Anthony Schwartz, CLE",$0,9
45. (WR21),"DK Metcalf, SEA",$17,11,125. (TE13),"Mike Gesicki, MIA",$1,11,205. (WR77),"Jamison Crowder, BUF",$0,7,285. (DST17),"Rams D/ST, LAR",$0,7
46. (WR22),"Jerry Jeudy, DEN",$15,9,126. (TE14),"Dawson Knox, BUF",$1,7,206. (RB64),"Chuba Hubbard, CAR",$0,13,286. (DST18),"Titans D/ST, TEN",$0,6
47. (WR23),"Courtland Sutton, DEN",$15,9,127. (QB16),"Trevor Lawrence, JAC",$1,11,207. (RB65),"Ameer Abdullah, LV",$0,6,287. (K17),"Chris Boswell, PIT",$0,9
48. (RB21),"Travis Etienne Jr., JAC",$14,11,128. (QB17),"Tua Tagovailoa, MIA",$1,11,208. (RB66),"Ty Montgomery, NE",$0,10,288. (K18),"Younghoe Koo, ATL",$0,14
49. (WR24),"Amon-Ra St. Brown, DET",$13,6,129. (QB18),"Justin Fields, CHI",$1,14,209. (RB67),"Tyrion Davis-Price, SF",$0,9,289. (TE30),"Tommy Tremble, CAR",$0,13
50. (WR25),"Darnell Mooney, CHI",$13,14,130. (WR55),"DJ Chark Jr., DET",$1,6,210. (RB68),"D'Ernest Johnson, CLE",$0,9,290. (TE31),"Kyle Rudolph, TB",$0,11
51. (WR26),"Gabriel Davis, BUF",$12,7,131. (WR56),"Jarvis Landry, NO",$1,14,211. (RB69),"Dontrell Hilliard, TEN",$0,6,291. (TE32),"Jonnu Smith, NE",$0,10
52. (WR27),"Chris Godwin, TB",$11,11,132. (WR57),"Josh Palmer, LAC",$1,8,212. (RB70),"Ronald Jones II, KC",$0,8,292. (TE33),"Adam Trautman, NO",$0,14
53. (QB2),"Patrick Mahomes, KC",$11,8,133. (WR58),"Robbie Anderson, CAR",$1,13,213. (RB71),"Hassan Haskins, TEN",$0,6,293. (TE34),"Dan Arnold, JAC",$0,11
54. (QB3),"Justin Herbert, LAC",$10,8,134. (WR59),"Marvin Jones Jr., JAC",$1,11,214. (TE22),"Albert Okwuegbunam, DEN",$0,9,294. (WR103),"Keelan Cole, LV",$0,6
55. (RB22),"Josh Jacobs, LV",$10,6,135. (WR60),"DeVante Parker, NE",$1,10,215. (QB21),"Carson Wentz, WAS",$0,14,295. (WR104),"Nelson Agholor, NE",$0,10
56. (RB23),"Elijah Mitchell, SF",$10,9,136. (WR61),"Kenny Golladay, NYG",$1,9,216. (WR78),"Kendrick Bourne, NE",$0,10,296. (QB32),"Drew Lock, SEA",$0,11
