depthChart,Name rank,team
QB2,-,ATL
RB1,Todd Gurley II (44),ATL
RB2,Ito Smith (235),ATL
RB3,Brian Hill (236),ATL
WR1,Julio Jones (18),ATL
WR2,Calvin Ridley (32),ATL
WR3,Russell Gage (197),ATL
WR4,-,ATL
TE1,Hayden Hurst (114),ATL
TE2,-,ATL
QB1,Kyler Murray (74),ARI
QB2,-,ARI
RB1,Kenyan Drake (10),ARI
RB2,Chase Edmonds (143),ARI
RB3,Eno Benjamin (307),ARI
WR1,DeAndre Hopkins (17),ARI
WR2,Christian Kirk (94),ARI
WR3,Larry Fitzgerald (149),ARI
WR4,Andy Isabella (274),ARI
TE1,Dan Arnold (291),ARI
TE2,-,ARI
QB1,Daniel Jones (137),NYG
QB2,-,NYG
RB1,Saquon Barkley (2),NYG
RB2,Dion Lewis (276),NYG
RB3,-,NYG
WR1,Sterling Shepard (93),NYG
WR2,Golden Tate (95),NYG
WR3,Darius Slayton (98),NYG
WR4,-,NYG
TE1,Evan Engram (82),NYG
TE2,-,NYG
QB1,Aaron Rodgers (122),GB
QB2,Jordan Love (337),GB
RB1,Aaron Jones (13),GB
RB2,AJ Dillon (155),GB
RB3,Jamaal Williams (203),GB
WR1,Davante Adams (16),GB
WR2,Allen Lazard (151),GB
WR3,-,GB
WR4,-,GB
TE1,Jace Sternberger (247),GB
TE2,-,GB
QB1,Teddy Bridgewater (267),CAR
QB2,Phillip Walker (338),CAR
RB1,Christian McCaffrey (1),CAR
RB2,Reggie Bonnafon (281),CAR
RB3,Mike Davis (282),CAR
WR1,DJ Moore (25),CAR
WR2,Robby Anderson (97),CAR
WR3,Curtis Samuel (102),CAR
WR4,-,CAR
TE1,Ian Thomas (246),CAR
TE2,-,CAR
QB1,Jared Goff (166),LAR
QB2,-,LAR
RB1,Cam Akers (59),LAR
RB2,Darrell Henderson Jr. (85),LAR
RB3,Malcolm Brown (237),LAR
WR1,Robert Woods (36),LAR
WR2,Cooper Kupp (38),LAR
WR3,Josh Reynolds (225),LAR
WR4,Van Jefferson (271),LAR
TE1,Tyler Higbee (83),LAR
TE2,Gerald Everett (290),LAR
QB1,Dwayne Haskins Jr. (269),WSH
QB2,Alex Smith (335),WSH
RB1,Antonio Gibson (129),WSH
RB2,Adrian Peterson (141),WSH
RB3,Bryce Love (205),WSH
WR1,Terry McLaurin (52),WSH
WR2,Steven Sims Jr. (198),WSH
WR3,Antonio Gandy-Golden (252),WSH
WR4,Trey Quinn (284),WSH
TE1,Logan Thomas (313),WSH
TE2,-,WSH
QB1,Kirk Cousins (212),MIN
QB2,-,MIN
RB1,Dalvin Cook (4),MIN
RB2,Alexander Mattison (104),MIN
RB3,Mike Boone (304),MIN
WR1,Adam Thielen (27),MIN
WR2,Justin Jefferson (109),MIN
WR3,-,MIN
WR4,-,MIN
TE1,Irv Smith Jr. (210),MIN
TE2,Kyle Rudolph (258),MIN
QB1,Drew Brees (120),NO
QB2,Jameis Winston (318),NO
RB1,Alvin Kamara (5),NO
RB2,Latavius Murray (103),NO
RB3,Ty Montgomery (306),NO
WR1,Michael Thomas (6),NO
WR2,Emmanuel Sanders (101),NO
WR3,-,NO
WR4,-,NO
TE1,Jared Cook (111),NO
TE2,Taysom Hill (312),NO
QB1,Russell Wilson (76),SEA
QB2,-,SEA
RB1,Chris Carson (39),SEA
RB2,Carlos Hyde (157),SEA
RB3,Rashaad Penny (209),SEA
WR1,Tyler Lockett (37),SEA
WR2,DK Metcalf (54),SEA
WR3,Phillip Dorsett II (272),SEA
WR4,-,SEA
TE1,Greg Olsen (259),SEA
TE2,Will Dissly (289),SEA
