depthChart,name rank,team
QB2,-,GB
RB1,Aaron Jones (33),GB
RB2,AJ Dillon (95),GB
RB3,Patrick Taylor (322),GB
WR1,Christian Watson (46),GB
WR2,Jayden Reed (168),GB
WR3,Romeo Doubs (169),GB
WR4,-,GB
TE1,Luke Musgrave (293),GB
TE2,Tucker Kraft (326),GB
K,Anders Carlson (352),GB
QB1,Bryce Young (244),CAR
QB2,Andy Dalton (344),CAR
RB1,Miles Sanders (48),CAR
RB2,Chuba Hubbard (174),CAR
RB3,Raheem Blackshear (265),CAR
WR1,DJ Chark Jr. (108),CAR
WR2,Adam Thielen (127),CAR
WR3,Jonathan Mingo (167),CAR
WR4,Terrace Marshall Jr. (284),CAR
TE1,Hayden Hurst (249),CAR
TE2,Tommy Tremble (331),CAR
K,Eddy Pineiro (160),CAR
QB1,Matthew Stafford (139),LAR
QB2,Stetson Bennett (340),LAR
RB1,Cam Akers (61),LAR
RB2,Kyren Williams (193),LAR
RB3,Zach Evans (306),LAR
WR1,Cooper Kupp (6),LAR
WR2,Van Jefferson (181),LAR
WR3,Ben Skowronek (263),LAR
WR4,Demarcus Robinson (273),LAR
TE1,Tyler Higbee (125),LAR
TE2,Hunter Long (328),LAR
K,Tanner Brown (358),LAR
QB1,Sam Howell (269),WSH
QB2,Jacoby Brissett (302),WSH
RB1,Brian Robinson Jr. (103),WSH
RB2,Antonio Gibson (104),WSH
RB3,Jonathan Williams (303),WSH
WR1,Terry McLaurin (55),WSH
WR2,Jahan Dotson (86),WSH
WR3,Curtis Samuel (182),WSH
WR4,-,WSH
TE1,Logan Thomas (246),WSH
TE2,-,WSH
K,Joey Slye (355),WSH
QB1,Kirk Cousins (92),MIN
QB2,-,MIN
RB1,Alexander Mattison (60),MIN
RB2,Kene Nwangwu (212),MIN
RB3,Ty Chandler (236),MIN
WR1,Justin Jefferson (1),MIN
WR2,Jordan Addison (98),MIN
WR3,K.J. Osborn (130),MIN
WR4,-,MIN
TE1,T.J. Hockenson (49),MIN
TE2,-,MIN
K,Greg Joseph (288),MIN
QB1,Derek Carr (219),NO
QB2,-,NO
RB1,Alvin Kamara (47),NO
RB2,Jamaal Williams (105),NO
RB3,Kendre Miller (121),NO
WR1,Chris Olave (37),NO
WR2,Michael Thomas (81),NO
WR3,Rashid Shaheed (230),NO
WR4,-,NO
TE1,Juwan Johnson (214),NO
TE2,Taysom Hill (311),NO
K,Wil Lutz (351),NO
QB1,Geno Smith (115),SEA
QB2,-,SEA
RB1,Ken Walker III (65),SEA
RB2,Zach Charbonnet (161),SEA
RB3,DeeJay Dallas (320),SEA
WR1,DK Metcalf (27),SEA
WR2,Tyler Lockett (64),SEA
WR3,Jaxon Smith-Njigba (87),SEA
WR4,-,SEA
TE1,Noah Fant (290),SEA
TE2,Will Dissly (314),SEA
K,Jason Myers (156),SEA
