depthChart,name rank,team,,,,,
QB2,Tyrod Taylor (341),NYG,,,,,
RB1,Saquon Barkley (9),NYG,,,,,
RB2,Matt Breida (238),NYG,,,,,
RB3,Gary Brightwell (303),NYG,,,,,
WR1,Parris Campbell (138),NYG,,,,,
WR2,Isaiah Hodgins (195),NYG,,,,,
WR3,Wan'Dale Robinson (226),NYG,,,,,
WR4,Darius Slayton (262),NYG,,,,,
TE1,Darren Waller (64),NYG,,,,,
TE2,Daniel Bellinger (334),NYG,,,,,
K,Graham Gano (155),NYG,,,,,
QB1,Jordan Love (267),GB,,,,,
QB2,-,GB,,,,,
RB1,Aaron Jones (32),GB,,,,,
RB2,AJ Dillon (88),GB,,,,,
RB3,Emanuel Wilson (307),GB,,,,,
WR1,Christian Watson (42),GB,,,,,
WR2,Jayden Reed (178),GB,,,,,
WR3,Romeo Doubs (179),GB,,,,,
WR4,-,GB,,,,,
TE1,Luke Musgrave (289),GB,,,,,
TE2,-,GB,,,,,
K,Anders Carlson (353),GB,,,,,
QB1,Bryce Young (244),CAR,,,,,
QB2,Andy Dalton (343),CAR,,,,,
RB1,Miles Sanders (50),CAR,,,,,
RB2,Chuba Hubbard (203),CAR,,,,,
RB3,Raheem Blackshear (210),CAR,,,,,
WR1,DJ Chark Jr. (117),CAR,,,,,
WR2,Adam Thielen (122),CAR,,,,,
WR3,Jonathan Mingo (175),CAR,,,,,
WR4,Terrace Marshall Jr. (251),CAR,,,,,
TE1,Hayden Hurst (249),CAR,,,,,
TE2,-,CAR,,,,,
K,Eddy Pineiro (191),CAR,,,,,
QB1,Matthew Stafford (183),LAR,,,,,
QB2,Stetson Bennett (339),LAR,,,,,
RB1,Cam Akers (63),LAR,,,,,
RB2,Kyren Williams (169),LAR,,,,,
RB3,Zach Evans (321),LAR,,,,,
WR1,Cooper Kupp (13),LAR,,,,,
WR2,Van Jefferson (180),LAR,,,,,
WR3,Tutu Atwell (230),LAR,,,,,
WR4,Puka Nacua (284),LAR,,,,,
TE1,Tyler Higbee (116),LAR,,,,,
TE2,Hunter Long (328),LAR,,,,,
K,Brett Maher (358),LAR,,,,,
QB1,Sam Howell (268),WSH,,,,,
QB2,Jacoby Brissett (315),WSH,,,,,
RB1,Brian Robinson Jr. (90),WSH,,,,,
RB2,Antonio Gibson (91),WSH,,,,,
RB3,Chris Rodriguez Jr. (278),WSH,,,,,
WR1,Terry McLaurin (60),WSH,,,,,
WR2,Jahan Dotson (84),WSH,,,,,
WR3,Curtis Samuel (177),WSH,,,,,
WR4,-,WSH,,,,,
TE1,Logan Thomas (248),WSH,,,,,
TE2,-,WSH,,,,,
K,Joey Slye (356),WSH,,,,,
QB1,Kirk Cousins (103),MIN,,,,,
